,id_sentence,text,id_tale,Y_1,Y_2,Y_3,target,consensus,processed
0,1,หนูบ้านกับหนูนา,1,0,0,0,0,1,"['หนู', 'บ้าน', 'กับ', 'หนู', 'นา']"
1,2,“กินอาหารกลางวันที่ต่างจังหวัด,1,0,0,0,0,1,"['กิน', 'อาหารกลางวัน', 'ที่', 'ต่างจังหวัด']"
2,3,น่าสนใจเป็นที่สุด!”,1,1,1,1,1,1,"['น่าสนใจ', 'เป็น', 'ที่สุด', '!”']"
3,4,หนูบ้านอุทานเมื่อได้รับบัตรเชิญจากญาติของมัน,1,-1,0,0,0,0,"['หนู', 'บ้าน', 'อุทาน', 'เมื่อ', 'ได้รับ', 'บัตรเชิญ', 'จาก', 'ญาติ', 'ของ', 'มัน']"
4,5,ซึ่งผู้นำข่าวนี้มาแจ้งก็คือคุณไปรษณีย์นกนั่นเอง,1,0,0,0,0,1,"['ซึ่ง', 'ผู้นำ', 'ข่าว', 'นี้', 'มา', 'แจ้ง', 'ก็', 'คือ', 'คุณ', 'ไปรษณีย์', 'นก', 'นั่นเอง']"
5,6,“อากาศสดชื่น แสงแดดอ่อนๆ มีแต่ความเงียบและสงบสุข...”,1,1,1,1,1,1,"['อากาศ', 'สดชื่น', 'แสงแดด', 'อ่อน', 'มี', 'แต่', 'ความ', 'เงียบ', 'และ', 'สงบสุข', 'xxrep']"
6,7,หนูน้อยยังคงฝันเฟื่องต่อไป ขณะที่มองออกไปนอกหน้าต่างแล้วเห็นความวุ่นวายตรงถนนข้างล่าง,1,-1,0,-1,-1,0,"['หนู', 'น้อย', 'ยังคง', 'ฝันเฟื่อง', 'ต่อไป', 'ขณะที่', 'มองออก', 'ไปนอก', 'หน้าต่าง', 'แล้ว', 'เห็น', 'ความวุ่นวาย', 'ตรง', 'ถนน', 'ข้างล่าง']"
7,8,“เชื่อเลยว่าอาหารต้องมีรสชาติวิเศษสุด เวลาที่เราพักผ่อนอยู่ในสวนดอกไม้ใต้ท้องฟ้ากว้าง”,1,1,1,1,1,1,"['เชื่อ', 'เลย', 'ว่า', 'อาหาร', 'ต้อง', 'มี', 'รสชาติ', 'วิเศษ', 'สุด', 'เวลา', 'ที่', 'เรา', 'พักผ่อน', 'อยู่', 'ใน', 'สวนดอกไม้', 'ใต้', 'ท้องฟ้า', 'กว้าง']"
8,9,“ขอโทษนะจ๊ะ” นกไปรษณีย์พูด,1,-1,0,0,0,0,"['ขอโทษ', 'นะจ๊ะ', 'นก', 'ไปรษณีย์', 'พูด']"
9,10,มันกำลังคอยอยู่ที่ขอบหน้าต่างอย่างร้อนใจ,1,-1,-1,-1,-1,1,"['มัน', 'กำลัง', 'คอย', 'อยู่', 'ที่', 'ขอบ', 'หน้าต่าง', 'อย่าง', 'ร้อนใจ']"
10,11,“ต้องตอบจดหมายไหม” “โอ จริงสินะ” หนูบ้านพูด,1,0,0,1,1,0,"['ต้อง', 'ตอบ', 'จดหมาย', 'ไหม', 'โอ', 'จริง', 'สิ', 'นะ', 'หนู', 'บ้าน', 'พูด']"
11,12,“ช่วยบอกเขาด้วยว่าฉันยินดีที่จะไป ฉันจะไปถึงที่นั่นตอนเที่ยงวันพรุ่งนี้”,1,1,0,1,1,0,"['ช่วย', 'บอก', 'เขา', 'ด้วยว่า', 'ฉัน', 'ยินดี', 'ที่จะ', 'ไป', 'ฉัน', 'จะ', 'ไป', 'ถึง', 'ที่นั่น', 'ตอนเที่ยง', 'วันพรุ่งนี้']"
12,13,นกไปรษณีย์พยักหน้าแล้วบินหายไปในท้องฟ้า,1,0,0,0,0,1,"['นก', 'ไปรษณีย์', 'พยักหน้า', 'แล้ว', 'บิน', 'หาย', 'ไป', 'ใน', 'ท้องฟ้า']"
