id_tale,name_tale
1,หนูบ้านกับหนูนา
2,ลากับหมาป่า
3,ราชสีห์กับหนู
4,นกกระสากับหมาจิ้งจอก
5,ทำไมผึ้งจึงมีเหล็กใน
6,เต่าบินได้
7,ต้นอ้อผู้บอบบางกับต้นมะกอก
8,คนตัดไม้ผู้ซื่อสัตย์
9,ต้นไม้แปลงร่าง
10,ห้องสมุดบินได้
11,สะพานลอยเกเรกับเจ้าด่าง
12,กระต่ายกับเต่า
13,พระอาทิตย์กับลมเหนือ
14,หมาป่ากับสุนัขบ้าน
15,เจ้าหญิงปุยฝ้ายกับเจ้าชายสายลม
16,กบผู้เฒ่านั่งเฝ้ากอบัว
17,ยายแห้งลอยฟ้า
18,แมงมุมใยทอง
19,ม้าแกลบน้อยของลีน่า
20,แพะอยากกินน้ำอัดลม
21,พรวิเศษจากนกน้อย
22,ผีน้อยลูแตง
23,หงส์ขนทอง
24,สร้อยคอนกเขา
25,ลิลลี่ทุ่งผู้แสนดี
26,ใบไม้วิเศษ
27,นิทานหิ่งห้อย
28,น้ำตาของเมฆน้อย
29,ห่านออกไข่เป็นทองคำ
30,ต้นไม้ร้องไห้
31,เสื้อกันหนาวสีแดงของลาน้อย
32,สุนัขจิ้งจอกกับนายพราน
33,แมลงหวี่น้อยผู้ยิ่งใหญ่
34,บุรุษไปรษณีย์ผู้น่ารัก
35,นกสาลิกากับนกยูง
36,ของขวัญของมาร์ติน
37,การผจญภัยของลูกค้างคาว
38,กระรอกน้อยกับนกเค้าแมว
39,กระดิ่งผูกคอแมว
40,กบเลือกนาย
