,id_sentence,text,id_tale,Y_1,Y_2,Y_3,Y_vote,target
0,1,หนูบ้านกับหนูนา,1,0,0,0,0,1
1,2,“กินอาหารกลางวันที่ต่างจังหวัด,1,0,0,0,0,1
2,3,น่าสนใจเป็นที่สุด!”,1,1,1,1,1,1
3,4,หนูบ้านอุทานเมื่อได้รับบัตรเชิญจากญาติของมัน,1,-1,0,0,0,0
4,5,ซึ่งผู้นำข่าวนี้มาแจ้งก็คือคุณไปรษณีย์นกนั่นเอง,1,0,0,0,0,1
5,6,“อากาศสดชื่น แสงแดดอ่อนๆ มีแต่ความเงียบและสงบสุข...”,1,1,1,1,1,1
6,7,หนูน้อยยังคงฝันเฟื่องต่อไป ขณะที่มองออกไปนอกหน้าต่างแล้วเห็นความวุ่นวายตรงถนนข้างล่าง,1,-1,0,-1,-1,0
7,8,“เชื่อเลยว่าอาหารต้องมีรสชาติวิเศษสุด เวลาที่เราพักผ่อนอยู่ในสวนดอกไม้ใต้ท้องฟ้ากว้าง”,1,1,1,1,1,1
8,9,“ขอโทษนะจ๊ะ” นกไปรษณีย์พูด,1,-1,0,0,0,0
9,10,มันกำลังคอยอยู่ที่ขอบหน้าต่างอย่างร้อนใจ,1,-1,-1,-1,-1,1
10,11,“ต้องตอบจดหมายไหม” “โอ จริงสินะ” หนูบ้านพูด,1,0,0,1,1,0
11,12,“ช่วยบอกเขาด้วยว่าฉันยินดีที่จะไป ฉันจะไปถึงที่นั่นตอนเที่ยงวันพรุ่งนี้”,1,1,0,1,1,0
12,13,นกไปรษณีย์พยักหน้าแล้วบินหายไปในท้องฟ้า,1,0,0,0,0,1
13,14,เช้าตรู่วันรุ่งขึ้น หนูน้อยลอดตัวออกจากประตูบ้านในเมืองหลังที่มันอาศัยอยู่,1,0,0,0,0,1
14,15,แล้วออกเดินทางไปเยี่ยมญาติของมันที่ต่างจังหวัด,1,0,0,0,0,1
15,16,หนูน้อยวิ่งไปตามถนนที่มีแต่ความจอแจ มันแทรกตัวผ่านเท้าของผู้คนอย่างเร่งรีบ จนมาถึงสถานีรถไฟ,1,-1,0,0,0,0
