 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6652±0.0032,0.599±0.0169,0.4306±0.0125,0.2478±0.0133,0.5971±0.0442,0.5008±0.0088,0.6674±0.0028,0.6033±0.0124,0.4379±0.0034,0.2568±0.0071,0.6173±0.0083,0.5074±0.0052
SVMLN,0.6719±0.0029,0.6184±0.0062,0.4422±0.0067,0.2695±0.01,0.6586±0.0071,0.5157±0.0053,0.6721±0.0027,0.6151±0.008,0.445±0.0042,0.2714±0.0083,0.6371±0.0089,0.5164±0.0053
RF,0.6696±0.0034,0.5995±0.0108,0.4513±0.0062,0.2701±0.01,0.6611±0.0045,0.5149±0.0063,0.669±0.0018,0.5994±0.0073,0.4481±0.0045,0.2669±0.006,0.6605±0.0042,0.5128±0.0041
ET,0.6688±0.0036,0.5951±0.0103,0.4514±0.0062,0.2686±0.0105,0.6582±0.0042,0.5133±0.007,0.6687±0.0024,0.5968±0.0083,0.4505±0.0053,0.2677±0.0073,0.6582±0.0041,0.5134±0.0053
XGB,0.6709±0.0028,0.6546±0.0147,0.4292±0.0044,0.2606±0.0094,0.6652±0.0053,0.5184±0.007,0.6718±0.0018,0.6568±0.0154,0.4283±0.0016,0.2629±0.0056,0.6645±0.0043,0.5184±0.0054
LGBM,0.6699±0.0026,0.6139±0.0122,0.4398±0.0033,0.2636±0.0071,0.6589±0.0051,0.5124±0.0048,0.6708±0.0022,0.6104±0.0083,0.445±0.0039,0.2685±0.0069,0.6615±0.0042,0.5147±0.0042
MLP,0.6707±0.003,0.6066±0.0111,0.4504±0.0063,0.2716±0.0084,0.6575±0.0072,0.5169±0.005,0.67±0.003,0.6014±0.0129,0.4539±0.0056,0.2727±0.0063,0.6572±0.0064,0.5173±0.0048
NB,0.2281±0.0019,0.4825±0.0196,0.3705±0.0032,0.0874±0.0062,0.5783±0.0176,0.419±0.0084,0.2271±0.0021,0.4878±0.0141,0.3686±0.0036,0.0852±0.0056,0.5771±0.0175,0.4198±0.0058
1NN,0.5272±0.1669,0.4711±0.0422,0.4191±0.0277,0.1585±0.0782,0.5643±0.0207,0.4434±0.0338,0.5236±0.1658,0.4644±0.0402,0.4151±0.0273,0.1513±0.0752,0.5613±0.0205,0.4383±0.0328
DT,0.6674±0.0032,0.5895±0.0083,0.4501±0.0063,0.2652±0.0099,0.6522±0.0047,0.5104±0.0063,0.666±0.0026,0.5869±0.0083,0.4473±0.0055,0.2605±0.0076,0.6502±0.0043,0.5076±0.0051
LR,0.6733±0.0018,0.6336±0.0108,0.443±0.0057,0.2727±0.007,0.6707±0.004,0.5213±0.0038,0.6738±0.0019,0.6341±0.0072,0.4438±0.0031,0.2741±0.0056,0.6676±0.0055,0.5221±0.0035
PLS,0.6718±0.002,0.643±0.0094,0.4341±0.0051,0.2646±0.007,0.6707±0.0039,0.5183±0.0048,0.6708±0.0021,0.6481±0.0091,0.4292±0.0035,0.2601±0.007,0.6675±0.005,0.5164±0.0044
