 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6527±0.0053,0.5962±0.0267,0.3896±0.0052,0.1877±0.0178,0.682±0.0057,0.4711±0.0113,0.6599±0.0022,0.6277±0.0138,0.4018±0.0065,0.2167±0.0097,0.6945±0.0029,0.4899±0.0073
SVMLN,0.6537±0.0029,0.5943±0.0163,0.3928±0.0036,0.1926±0.0104,0.6757±0.0045,0.4729±0.0068,0.6589±0.0018,0.614±0.01,0.4047±0.0039,0.215±0.0072,0.6827±0.0029,0.4878±0.0051
RF,0.6449±0.0065,0.5451±0.0204,0.389±0.0054,0.1662±0.0194,0.6453±0.0074,0.4539±0.0101,0.6348±0.0055,0.5204±0.0114,0.4481±0.0091,0.2153±0.0146,0.6879±0.0061,0.4816±0.0099
ET,0.6393±0.008,0.5253±0.021,0.3977±0.0056,0.1653±0.0197,0.6418±0.0039,0.4526±0.0107,0.6298±0.0058,0.5125±0.0113,0.4501±0.0095,0.2129±0.0152,0.6798±0.0061,0.4793±0.0102
XGB,0.6489±0.0012,0.6611±0.0305,0.3675±0.0015,0.1617±0.0068,0.6915±0.0025,0.4722±0.0083,0.6547±0.0019,0.6783±0.0206,0.3809±0.0033,0.1916±0.0092,0.7116±0.0028,0.4878±0.0073
LGBM,0.6546±0.0015,0.6287±0.0162,0.3854±0.0032,0.1914±0.0066,0.7038±0.003,0.4778±0.0055,0.6644±0.0019,0.6407±0.0066,0.4149±0.0039,0.2359±0.0072,0.7289±0.002,0.5036±0.0043
MLP,0.6187±0.0071,0.4902±0.0072,0.4264±0.0077,0.1759±0.0074,0.6335±0.0065,0.456±0.0044,0.6204±0.0047,0.5036±0.0068,0.4627±0.0055,0.2192±0.008,0.6662±0.0086,0.4823±0.0056
NB,0.2195±0.0057,0.4432±0.0098,0.3897±0.0083,0.0932±0.0098,0.5952±0.0096,0.4146±0.0068,0.2221±0.006,0.4604±0.0076,0.3951±0.0075,0.1071±0.0072,0.6176±0.0042,0.4252±0.0058
1NN,0.5468±0.0212,0.4019±0.01,0.3862±0.0085,0.088±0.0127,0.5396±0.0064,0.3938±0.008,0.5642±0.0135,0.4395±0.0059,0.4305±0.0035,0.1526±0.0064,0.5728±0.0026,0.4349±0.0038
DT,0.5848±0.0186,0.4339±0.0185,0.4±0.007,0.1215±0.018,0.5465±0.0088,0.4162±0.0114,0.58±0.0047,0.456±0.0082,0.4388±0.0092,0.1662±0.0118,0.607±0.006,0.4472±0.0086
LR,0.6523±0.0021,0.5947±0.0148,0.3904±0.0028,0.1866±0.0074,0.6868±0.0032,0.4713±0.0057,0.6591±0.002,0.5983±0.0078,0.4159±0.0037,0.2227±0.0071,0.7154±0.0027,0.4907±0.0044
PLS,0.6478±0.0013,0.6352±0.0215,0.3671±0.0022,0.1559±0.0069,0.697±0.0036,0.4652±0.0063,0.652±0.0016,0.6595±0.0184,0.3747±0.0025,0.1781±0.0081,0.7192±0.0023,0.4778±0.0062
