 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7098±0.0023,0.6913±0.0057,0.5091±0.0063,0.3817±0.0066,0.7874±0.0042,0.5864±0.0045,0.7164±0.0039,0.6787±0.0139,0.5415±0.0084,0.4057±0.008,0.7921±0.0034,0.6022±0.0053
SVMLN,0.7021±0.0021,0.6862±0.0057,0.4917±0.0066,0.3598±0.0063,0.7694±0.0035,0.5729±0.0055,0.7079±0.0024,0.6682±0.0075,0.5221±0.004,0.3814±0.0061,0.7717±0.0025,0.5862±0.0049
RF,0.6947±0.0022,0.661±0.0105,0.4852±0.005,0.342±0.0053,0.7705±0.0058,0.5596±0.0043,0.6965±0.0039,0.6291±0.0093,0.5296±0.0057,0.3656±0.0086,0.7764±0.0043,0.5751±0.0064
ET,0.7054±0.0022,0.6539±0.0053,0.529±0.0045,0.3804±0.0058,0.7856±0.0049,0.5849±0.0044,0.7019±0.0028,0.6355±0.0062,0.547±0.0039,0.3839±0.0059,0.7856±0.0038,0.5879±0.0041
XGB,0.6976±0.0026,0.6938±0.0133,0.4776±0.0062,0.3455±0.0076,0.785±0.0037,0.5657±0.0059,0.7044±0.0025,0.6951±0.0073,0.4946±0.0042,0.3659±0.0069,0.7971±0.0033,0.5779±0.0047
LGBM,0.7168±0.003,0.691±0.0068,0.5293±0.0076,0.4024±0.0081,0.8066±0.0029,0.5994±0.0054,0.7236±0.0023,0.6905±0.0074,0.5516±0.0031,0.4227±0.0053,0.8203±0.0026,0.6133±0.0045
MLP,0.7015±0.002,0.6441±0.0089,0.5323±0.0076,0.3743±0.0053,0.7462±0.0072,0.5828±0.0045,0.6921±0.0072,0.6132±0.0109,0.5775±0.0071,0.3917±0.0125,0.7723±0.007,0.5948±0.0085
NB,0.2935±0.0094,0.4854±0.0054,0.4525±0.0123,0.1703±0.011,0.6642±0.0142,0.4683±0.0083,0.3057±0.0059,0.4893±0.005,0.4594±0.0056,0.1787±0.0055,0.6741±0.0032,0.4739±0.004
1NN,0.6265±0.0058,0.5165±0.0091,0.4975±0.0084,0.266±0.0119,0.6232±0.0063,0.5068±0.0087,0.627±0.0031,0.5194±0.0042,0.5025±0.0038,0.2707±0.0054,0.6269±0.0029,0.5108±0.0038
DT,0.5249±0.0397,0.4417±0.0167,0.4555±0.011,0.1708±0.0238,0.5942±0.0073,0.4485±0.0136,0.5957±0.006,0.4969±0.0053,0.5028±0.0048,0.2508±0.0079,0.6343±0.0034,0.4998±0.0047
LR,0.6993±0.0025,0.7026±0.0041,0.4805±0.0069,0.3509±0.0076,0.7821±0.0053,0.5707±0.005,0.7088±0.0026,0.6681±0.0084,0.5278±0.0082,0.3853±0.0072,0.8011±0.0022,0.5897±0.0053
PLS,0.6908±0.0029,0.6931±0.0055,0.4619±0.0058,0.3246±0.0089,0.7917±0.0023,0.5543±0.0055,0.6953±0.0023,0.6935±0.0073,0.4738±0.0038,0.3388±0.0068,0.7948±0.0022,0.5629±0.0045
