 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
SVMLN,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
RF,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
ET,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
XGB,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
LGBM,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
MLP,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0001,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0002,0.2585±0.0
NB,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
1NN,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.3588±0.2369,0.1196±0.079,0.3333±0.0,0.0±0.0,0.5±0.0,0.1631±0.0825
DT,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
LR,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
PLS,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0,0.6334±0.0,0.2111±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2585±0.0
