 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6377±0.001,0.4439±0.0651,0.3485±0.0018,0.0926±0.0066,0.5925±0.0054,0.3886±0.0258,0.6378±0.0005,0.4171±0.049,0.3491±0.0019,0.0944±0.0044,0.5909±0.0049,0.379±0.0196
SVMLN,0.634±0.0004,0.5849±0.1807,0.335±0.0005,0.0311±0.0084,0.5713±0.0064,0.4172±0.0506,0.6339±0.0003,0.6145±0.1322,0.3351±0.0003,0.0314±0.0061,0.5692±0.0049,0.429±0.0384
RF,0.6066±0.0019,0.4111±0.006,0.3677±0.0028,0.087±0.0061,0.6011±0.0031,0.3882±0.0042,0.6096±0.0029,0.418±0.0067,0.3702±0.0028,0.0943±0.0071,0.6052±0.0032,0.3927±0.0044
ET,0.6018±0.0022,0.4062±0.0062,0.3662±0.0032,0.0809±0.0076,0.595±0.0043,0.3851±0.0045,0.6048±0.0036,0.4118±0.0082,0.3681±0.0034,0.0867±0.0081,0.5968±0.0026,0.3887±0.0055
XGB,0.6377±0.0014,0.5197±0.0403,0.3543±0.002,0.1028±0.0056,0.6391±0.0041,0.4208±0.0125,0.6369±0.0018,0.4821±0.0187,0.3612±0.002,0.1131±0.0072,0.6391±0.0027,0.4128±0.0074
LGBM,0.6379±0.0007,0.4845±0.0394,0.3537±0.0047,0.1024±0.0095,0.6399±0.0047,0.4084±0.0167,0.6358±0.0018,0.4732±0.016,0.3637±0.0024,0.115±0.0071,0.6355±0.0027,0.4112±0.0073
MLP,0.6385±0.0014,0.3998±0.0528,0.3556±0.002,0.1086±0.0067,0.6416±0.0055,0.375±0.0214,0.6387±0.0015,0.4275±0.0691,0.3578±0.0022,0.1129±0.0068,0.6425±0.0028,0.3873±0.027
NB,0.4788±0.0434,0.4428±0.0101,0.4138±0.0048,0.1233±0.0065,0.6089±0.004,0.4277±0.0061,0.5008±0.0192,0.4384±0.006,0.4146±0.0038,0.1259±0.006,0.6077±0.0037,0.4262±0.0046
1NN,0.5026±0.0066,0.3723±0.006,0.3723±0.0062,0.0632±0.0087,0.5292±0.0047,0.3723±0.0061,0.5057±0.0086,0.3753±0.006,0.3752±0.0062,0.0683±0.0097,0.5314±0.0046,0.3752±0.0061
DT,0.5448±0.0027,0.3864±0.0025,0.3773±0.0023,0.0787±0.0045,0.5404±0.0044,0.3818±0.0024,0.5503±0.0039,0.3889±0.0053,0.3782±0.0045,0.0822±0.0081,0.5417±0.0039,0.3835±0.0049
LR,0.6362±0.0013,0.4591±0.0374,0.3482±0.0047,0.0842±0.0186,0.6166±0.005,0.3955±0.0169,0.6363±0.0011,0.4768±0.0238,0.3489±0.0042,0.0873±0.0129,0.6169±0.0026,0.4027±0.0079
PLS,0.6363±0.0015,0.4745±0.0267,0.3501±0.0018,0.09±0.0089,0.6189±0.004,0.4027±0.0103,0.6368±0.0011,0.4751±0.0198,0.3508±0.0016,0.0937±0.0066,0.6185±0.0025,0.4035±0.0078
