 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.5757±0.0364,0.5732±0.0353,0.5736±0.0362,0.1468±0.0714,0.6016±0.0388,0.5734±0.0357,0.6196±0.0208,0.5865±0.0398,0.5447±0.0231,0.1225±0.0554,0.5975±0.0335,0.5645±0.0284
SVMLN,0.5986±0.0371,0.5803±0.0454,0.5645±0.0387,0.1429±0.0805,0.5911±0.0456,0.5721±0.0405,0.6043±0.0193,0.569±0.025,0.5552±0.0198,0.1231±0.0431,0.6067±0.0293,0.562±0.0217
RF,0.5513±0.0388,0.5721±0.0272,0.5704±0.0289,0.1424±0.0558,0.5957±0.0429,0.5713±0.0279,0.5814±0.0283,0.5493±0.03,0.5454±0.0288,0.0945±0.0587,0.5677±0.0337,0.5473±0.0293
ET,0.5666±0.0432,0.5769±0.03,0.5767±0.0306,0.1535±0.0603,0.5981±0.0394,0.5768±0.0302,0.5742±0.0256,0.5465±0.0238,0.5439±0.0217,0.0903±0.0454,0.5577±0.0288,0.5452±0.0227
XGB,0.51±0.0316,0.5802±0.031,0.5639±0.0252,0.1427±0.0547,0.5928±0.0303,0.5719±0.0274,0.6062±0.0187,0.5777±0.0184,0.5699±0.0169,0.1473±0.0342,0.6166±0.0235,0.5738±0.0171
LGBM,0.5511±0.0276,0.5682±0.0169,0.568±0.018,0.1361±0.0346,0.5904±0.027,0.5681±0.0173,0.5921±0.0254,0.5621±0.028,0.5576±0.0272,0.1195±0.055,0.5938±0.0312,0.5598±0.0275
MLP,0.5671±0.0311,0.5833±0.0285,0.5839±0.0273,0.1672±0.0555,0.6046±0.0354,0.5836±0.0278,0.5668±0.0311,0.5419±0.0311,0.5409±0.0302,0.0827±0.0612,0.5754±0.0293,0.5414±0.0306
NB,0.5919±0.0476,0.5705±0.0455,0.5327±0.0213,0.0929±0.0525,0.5767±0.0491,0.5504±0.0284,0.5814±0.06,0.5535±0.0438,0.5219±0.0238,0.0655±0.055,0.5803±0.0332,0.5368±0.0299
1NN,0.532±0.0444,0.5363±0.0316,0.5337±0.0284,0.0698±0.0593,0.5337±0.0284,0.535±0.0297,0.5327±0.0293,0.5197±0.029,0.5202±0.0292,0.0399±0.0581,0.5202±0.0292,0.52±0.0291
DT,0.5193±0.0324,0.5415±0.0338,0.5394±0.0335,0.0808±0.0671,0.5394±0.0335,0.5405±0.0336,0.5453±0.0255,0.5311±0.0223,0.5319±0.023,0.063±0.0453,0.5372±0.0298,0.5315±0.0226
LR,0.6241±0.012,0.5577±0.1912,0.5315±0.0315,0.0978±0.0762,0.5953±0.043,0.5301±0.1053,0.6117±0.0176,0.4871±0.1376,0.5126±0.0251,0.0418±0.0715,0.6135±0.0317,0.4913±0.0851
PLS,0.6014±0.0398,0.5791±0.0486,0.5674±0.0403,0.1453±0.0864,0.6063±0.0372,0.5731±0.0435,0.622±0.0236,0.5902±0.0433,0.5568±0.0264,0.1419±0.063,0.6206±0.0307,0.5727±0.0323
