 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6556±0.016,0.634±0.0189,0.6097±0.0273,0.2416±0.0459,0.6624±0.0305,0.6215±0.022,0.6527±0.0308,0.6332±0.0402,0.6099±0.0289,0.2413±0.0657,0.6642±0.0322,0.6211±0.0331
SVMLN,0.6434±0.0302,0.624±0.0335,0.609±0.0351,0.2322±0.068,0.6611±0.0308,0.6164±0.0339,0.6446±0.0279,0.6216±0.0323,0.615±0.0315,0.2365±0.0636,0.6669±0.0317,0.6183±0.0318
RF,0.6069±0.0298,0.6257±0.0271,0.6267±0.0256,0.2523±0.052,0.6752±0.033,0.6262±0.026,0.6418±0.0186,0.6149±0.0232,0.5956±0.0239,0.2094±0.0466,0.6577±0.028,0.6051±0.0232
ET,0.6382±0.0207,0.622±0.0235,0.6227±0.0258,0.2446±0.049,0.6646±0.0325,0.6223±0.0245,0.643±0.0116,0.6167±0.0145,0.5983±0.0127,0.2142±0.0263,0.6442±0.0172,0.6074±0.0132
XGB,0.6253±0.0251,0.614±0.0216,0.6097±0.0258,0.2231±0.0449,0.6638±0.0362,0.6117±0.0224,0.6492±0.0151,0.6264±0.0166,0.6176±0.0156,0.2438±0.0316,0.6787±0.0217,0.622±0.0158
LGBM,0.5754±0.0274,0.614±0.0273,0.608±0.0242,0.2217±0.0501,0.6575±0.0428,0.6109±0.0251,0.643±0.0188,0.621±0.021,0.6159±0.0198,0.2368±0.0404,0.676±0.023,0.6184±0.0202
MLP,0.6494±0.0215,0.6333±0.0229,0.6312±0.0243,0.2644±0.0465,0.6743±0.0287,0.6322±0.0232,0.6346±0.0313,0.6131±0.0327,0.6091±0.0318,0.2221±0.0642,0.6631±0.0343,0.6111±0.0321
NB,0.6019±0.0197,0.5654±0.0317,0.5564±0.0336,0.1211±0.0648,0.6115±0.0339,0.5608±0.0323,0.6122±0.0263,0.5735±0.0433,0.5562±0.0364,0.1278±0.0776,0.6115±0.0397,0.5646±0.039
1NN,0.5687±0.0154,0.5548±0.0193,0.5566±0.0204,0.1114±0.0396,0.5566±0.0204,0.5557±0.0198,0.5473±0.0303,0.5344±0.0299,0.5355±0.0305,0.0699±0.0604,0.5355±0.0305,0.535±0.0302
DT,0.5193±0.0335,0.5492±0.0268,0.5473±0.0272,0.0963±0.0538,0.5473±0.0272,0.5482±0.0269,0.5785±0.0214,0.5573±0.0197,0.557±0.0187,0.1143±0.0384,0.557±0.0187,0.5571±0.0192
LR,0.6482±0.016,0.6265±0.0189,0.5986±0.0338,0.2206±0.056,0.6619±0.0325,0.612±0.0251,0.6573±0.0353,0.6358±0.0462,0.6027±0.0479,0.234±0.0956,0.6702±0.0403,0.6186±0.0462
PLS,0.6351±0.0232,0.6079±0.0307,0.5893±0.032,0.1959±0.0614,0.668±0.0324,0.5984±0.0306,0.6439±0.0332,0.6189±0.044,0.5924±0.0348,0.2093±0.0777,0.6729±0.0279,0.6053±0.0389
