 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6124±0.0012,0.3062±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3798±0.0005,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
SVMLN,0.6124±0.0012,0.3062±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3798±0.0005,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
RF,0.5675±0.0947,0.2838±0.0474,0.5±0.0,0.0±0.0,0.5±0.0,0.3598±0.0423,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
ET,0.6124±0.0012,0.3062±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3798±0.0005,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
XGB,0.5458±0.1082,0.2729±0.0541,0.5±0.0,0.0±0.0,0.5±0.0,0.3501±0.0483,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
LGBM,0.4551±0.1086,0.2276±0.0543,0.5±0.0,0.0±0.0,0.5±0.0,0.3095±0.0486,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
MLP,0.5005±0.1185,0.2502±0.0592,0.5±0.0,0.0±0.0,0.499±0.0022,0.3298±0.0529,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5001±0.0003,0.3796±0.0005
NB,0.5897±0.0714,0.2949±0.0357,0.5±0.0,0.0±0.0,0.5±0.0,0.3697±0.0319,0.5897±0.0705,0.2949±0.0353,0.5±0.0,0.0±0.0,0.5±0.0,0.3697±0.0315
1NN,0.6124±0.0012,0.3062±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3798±0.0005,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
DT,0.5005±0.1185,0.2502±0.0592,0.5±0.0,0.0±0.0,0.5±0.0,0.3298±0.0529,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
LR,0.6124±0.0012,0.3062±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3798±0.0005,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
PLS,0.5897±0.0714,0.2949±0.0357,0.5±0.0,0.0±0.0,0.5±0.0,0.3697±0.0319,0.6119±0.0012,0.306±0.0006,0.5±0.0,0.0±0.0,0.5±0.0,0.3796±0.0005
