 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6279±0.0158,0.5993±0.0331,0.5505±0.0166,0.1412±0.045,0.5355±0.1897,0.5737±0.0234,0.6382±0.0055,0.6226±0.0147,0.5587±0.0058,0.1694±0.0158,0.6177±0.0173,0.5889±0.0085
SVMLN,0.6222±0.007,0.6584±0.0656,0.5162±0.0082,0.1002±0.0444,0.5186±0.0411,0.5777±0.0302,0.6141±0.006,0.579±0.0641,0.5094±0.0074,0.0537±0.0417,0.5414±0.0287,0.5408±0.0322
RF,0.6115±0.0215,0.5777±0.0258,0.5645±0.0192,0.1415±0.0444,0.5766±0.0131,0.571±0.0223,0.6193±0.0185,0.5859±0.0239,0.5714±0.0226,0.1566±0.0462,0.6038±0.0175,0.5786±0.023
ET,0.6134±0.023,0.578±0.0297,0.5621±0.0221,0.1391±0.051,0.5634±0.0239,0.5699±0.0257,0.6174±0.0148,0.5823±0.0196,0.565±0.0163,0.1462±0.0353,0.5962±0.0096,0.5735±0.0177
XGB,0.6301±0.0154,0.5995±0.0243,0.5696±0.0139,0.1662±0.0356,0.6026±0.0125,0.5841±0.0182,0.611±0.0104,0.5761±0.0121,0.5631±0.0098,0.1385±0.0213,0.5912±0.0184,0.5695±0.0107
LGBM,0.61±0.0151,0.5717±0.019,0.555±0.0134,0.1255±0.0318,0.5767±0.0132,0.5632±0.016,0.6005±0.018,0.5652±0.0217,0.5566±0.02,0.1214±0.0415,0.5888±0.0226,0.5609±0.0208
MLP,0.6215±0.0236,0.5902±0.0315,0.5667±0.0214,0.1545±0.0497,0.5768±0.0258,0.5781±0.0252,0.6272±0.0221,0.5977±0.0283,0.5712±0.0188,0.1664±0.0446,0.5999±0.0202,0.5841±0.0226
NB,0.6243±0.0202,0.5912±0.0328,0.5561±0.0205,0.1426±0.0499,0.606±0.031,0.573±0.0255,0.6274±0.0139,0.5945±0.0245,0.5592±0.0168,0.1495±0.0399,0.6257±0.0216,0.5763±0.0201
1NN,0.5322±0.0302,0.5029±0.0327,0.503±0.0321,0.0059±0.0648,0.503±0.0321,0.5029±0.0324,0.5568±0.0215,0.5314±0.024,0.5312±0.0239,0.0626±0.0479,0.5312±0.0239,0.5313±0.0239
DT,0.5508±0.0399,0.5296±0.043,0.53±0.0442,0.0597±0.0871,0.5291±0.0436,0.5298±0.0436,0.5623±0.0211,0.5415±0.0228,0.542±0.0233,0.0835±0.0461,0.5423±0.0247,0.5418±0.0231
LR,0.6272±0.0105,0.6356±0.0506,0.5302±0.0122,0.1251±0.0456,0.5584±0.0298,0.5775±0.0252,0.6251±0.0106,0.6035±0.0575,0.5285±0.0163,0.1085±0.0569,0.5863±0.0265,0.5628±0.0343
PLS,0.6224±0.0126,0.6053±0.0553,0.5289±0.0109,0.1093±0.0479,0.5552±0.0308,0.5639±0.0288,0.6255±0.0085,0.6094±0.0301,0.5323±0.0097,0.1186±0.0332,0.5842±0.0262,0.5681±0.0184
