 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6859±0.0012,0.6596±0.0208,0.4708±0.0139,0.3151±0.0058,0.7201±0.0023,0.549±0.0033,0.6915±0.0028,0.6674±0.0207,0.4799±0.0131,0.3315±0.0095,0.7283±0.0034,0.558±0.0059
SVMLN,0.6888±0.0032,0.6345±0.0071,0.4981±0.0048,0.3332±0.0081,0.0±0.0,0.558±0.0052,0.6633±0.0028,0.5709±0.005,0.5168±0.0037,0.3135±0.0051,0.7127±0.0042,0.5425±0.004
RF,0.6723±0.0017,0.5887±0.0035,0.4922±0.0045,0.3038±0.0052,0.726±0.004,0.5362±0.0038,0.6683±0.0039,0.5773±0.0067,0.5052±0.0047,0.3093±0.0084,0.7305±0.0034,0.5389±0.0054
ET,0.6663±0.0024,0.5748±0.0046,0.5009±0.0048,0.3027±0.0064,0.7156±0.0041,0.5353±0.0045,0.6717±0.0035,0.5855±0.0071,0.5045±0.0037,0.3122±0.0071,0.7239±0.0035,0.542±0.0048
XGB,0.6625±0.0018,0.6939±0.008,0.3984±0.0029,0.2264±0.0075,0.6945±0.0038,0.5062±0.0038,0.6639±0.0017,0.7033±0.0141,0.3997±0.0027,0.2325±0.0073,0.7014±0.0041,0.5097±0.0051
LGBM,0.6712±0.0029,0.6289±0.0173,0.4426±0.0058,0.2677±0.0076,0.7009±0.0033,0.5194±0.0057,0.6795±0.0022,0.6476±0.0072,0.4572±0.003,0.2938±0.0064,0.723±0.003,0.536±0.0034
MLP,0.6589±0.0105,0.5701±0.0361,0.5078±0.0161,0.3021±0.0105,0.7168±0.0069,0.5362±0.0082,0.6682±0.0099,0.5859±0.0348,0.5084±0.0135,0.3125±0.0112,0.7195±0.0057,0.5436±0.0086
NB,0.3754±0.1113,0.4816±0.0556,0.4832±0.0092,0.1987±0.051,0.5538±0.1947,0.4815±0.0297,0.3692±0.1044,0.4847±0.0331,0.4901±0.0116,0.2042±0.0401,0.6344±0.0297,0.4872±0.0214
1NN,0.5783±0.0814,0.4927±0.0403,0.4526±0.0165,0.2026±0.0435,0.6005±0.047,0.4716±0.0265,0.5836±0.081,0.5004±0.0359,0.4604±0.0175,0.2143±0.0439,0.6054±0.045,0.4794±0.0254
DT,0.6359±0.0122,0.5275±0.0197,0.4871±0.0082,0.2599±0.0192,0.6487±0.0263,0.5065±0.0131,0.641±0.0106,0.5346±0.0184,0.4894±0.0056,0.2667±0.015,0.6524±0.0253,0.5109±0.0111
LR,0.6885±0.0088,0.6479±0.0212,0.4903±0.0315,0.3282±0.0333,0.7459±0.0159,0.557±0.0165,0.694±0.0116,0.6551±0.0154,0.4991±0.0357,0.3426±0.0418,0.7532±0.0188,0.5654±0.0218
PLS,0.6918±0.0071,0.6419±0.008,0.5008±0.0229,0.3402±0.0253,0.7488±0.0165,0.5623±0.0146,0.6977±0.0074,0.6575±0.007,0.505±0.0192,0.3534±0.0241,0.7578±0.0118,0.5711±0.0138
