 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7429±0.0029,0.7136±0.0073,0.5871±0.0118,0.4711±0.0084,0.8253±0.0025,0.6441±0.0062,0.7481±0.0033,0.7223±0.0089,0.5946±0.011,0.4832±0.0082,0.8307±0.0026,0.6522±0.0059
SVMLN,0.7119±0.0027,0.6699±0.0057,0.526±0.0054,0.3916±0.0071,0.7846±0.0031,0.5893±0.0048,0.7115±0.0031,0.6708±0.0063,0.5228±0.0057,0.3898±0.0081,0.7854±0.0024,0.5876±0.0057
RF,0.6922±0.003,0.6961±0.0122,0.4604±0.0042,0.3295±0.0093,0.7646±0.0062,0.5542±0.0064,0.6956±0.0031,0.7091±0.0116,0.4646±0.0046,0.34±0.0094,0.7722±0.0034,0.5614±0.0062
ET,0.6861±0.0028,0.7029±0.0147,0.4447±0.0056,0.3107±0.0092,0.7721±0.0109,0.5447±0.0063,0.6887±0.0025,0.7119±0.0198,0.4492±0.0042,0.3197±0.0083,0.7771±0.0133,0.5507±0.0061
XGB,0.7207±0.0034,0.6754±0.0058,0.553±0.0051,0.4183±0.0081,0.8211±0.0034,0.6081±0.0053,0.7259±0.0034,0.6842±0.0072,0.5581±0.0047,0.4302±0.0079,0.8258±0.0032,0.6148±0.0057
LGBM,0.7228±0.0032,0.6761±0.0057,0.5572±0.0038,0.424±0.0073,0.8208±0.004,0.6109±0.0043,0.7254±0.0033,0.6796±0.0071,0.5606±0.0051,0.4302±0.0077,0.8252±0.0028,0.6144±0.0058
MLP,0.7074±0.0059,0.6319±0.0094,0.5964±0.009,0.4242±0.0095,0.8139±0.004,0.6136±0.0068,0.7188±0.0058,0.651±0.0108,0.6031±0.0085,0.4416±0.0092,0.8261±0.0037,0.6261±0.0068
NB,0.5129±0.0064,0.5044±0.0055,0.5351±0.0065,0.2742±0.0092,0.7209±0.0059,0.5193±0.0059,0.51±0.0052,0.5037±0.0042,0.535±0.0053,0.2729±0.0067,0.7206±0.0056,0.5189±0.0045
1NN,0.6065±0.0028,0.5164±0.0028,0.5309±0.0037,0.2871±0.0047,0.6482±0.0028,0.5235±0.0032,0.6149±0.0031,0.5242±0.0037,0.5374±0.0043,0.2987±0.006,0.6531±0.0033,0.5307±0.004
DT,0.5448±0.005,0.4345±0.0064,0.4395±0.0066,0.1625±0.0084,0.5797±0.005,0.437±0.0065,0.5476±0.0043,0.4376±0.0049,0.4429±0.0053,0.1682±0.0072,0.5819±0.004,0.4402±0.0051
LR,0.7124±0.0028,0.6518±0.0051,0.5524±0.0034,0.404±0.0061,0.8102±0.0027,0.598±0.0037,0.7137±0.0026,0.6556±0.0053,0.5513±0.0045,0.4057±0.0063,0.8123±0.0028,0.5989±0.0047
PLS,0.6803±0.0027,0.6217±0.0074,0.4553±0.0036,0.2972±0.0078,0.763±0.0036,0.5256±0.0049,0.6808±0.003,0.6236±0.0099,0.4542±0.004,0.298±0.0086,0.7634±0.0036,0.5256±0.0059
