 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.7545±0.0017,0.7235±0.0063,0.6123±0.0094,0.5±0.0055,0.8402±0.0013,0.6632±0.0042,0.7601±0.0026,0.7326±0.0086,0.6213±0.0093,0.5127±0.0061,0.8452±0.0022,0.6723±0.0049
SVMLN,0.7121±0.0025,0.6776±0.0056,0.522±0.0053,0.3903±0.0067,0.7923±0.0017,0.5897±0.0045,0.7115±0.0031,0.6784±0.0062,0.5192±0.0053,0.3883±0.0082,0.7919±0.003,0.5882±0.0054
RF,0.7018±0.0031,0.7217±0.0066,0.4762±0.0059,0.3581±0.0093,0.7826±0.0069,0.5738±0.006,0.7044±0.0015,0.7287±0.0072,0.4805±0.0023,0.366±0.0042,0.7878±0.0051,0.5791±0.0028
ET,0.6951±0.0025,0.7392±0.0075,0.4581±0.0046,0.3398±0.0079,0.796±0.0063,0.5656±0.0052,0.6972±0.0029,0.7406±0.0128,0.4617±0.0044,0.3464±0.0091,0.7994±0.0044,0.5687±0.0062
XGB,0.7354±0.0029,0.6955±0.0047,0.5788±0.0048,0.4547±0.0067,0.8403±0.0032,0.6318±0.0045,0.7378±0.0026,0.6986±0.0063,0.5829±0.0039,0.4605±0.0058,0.8435±0.0017,0.6355±0.0043
LGBM,0.7354±0.0029,0.6911±0.0055,0.5827±0.0051,0.4562±0.0067,0.8398±0.0031,0.6323±0.0047,0.7385±0.0021,0.6965±0.0054,0.5869±0.0035,0.4632±0.0047,0.8427±0.0011,0.637±0.0036
MLP,0.7183±0.0029,0.6464±0.0036,0.6198±0.0079,0.4518±0.0078,0.8303±0.0032,0.6328±0.0049,0.7306±0.0053,0.6649±0.0077,0.631±0.007,0.4727±0.0099,0.8423±0.0036,0.6475±0.0064
NB,0.4833±0.0059,0.5179±0.0061,0.5241±0.0063,0.2624±0.0085,0.7176±0.0052,0.521±0.006,0.4847±0.0032,0.5188±0.0031,0.5246±0.0032,0.2637±0.0041,0.7172±0.0039,0.5217±0.0029
1NN,0.6205±0.0033,0.5334±0.003,0.5476±0.0032,0.3107±0.0049,0.6607±0.0024,0.5404±0.0029,0.6225±0.0042,0.5361±0.0047,0.5511±0.0056,0.3154±0.0075,0.6633±0.0042,0.5435±0.0052
DT,0.555±0.0047,0.4465±0.0061,0.4519±0.0067,0.18±0.0089,0.5889±0.0051,0.4492±0.0064,0.56±0.0037,0.4511±0.0041,0.4561±0.0043,0.1871±0.0062,0.5921±0.0032,0.4536±0.0042
LR,0.7129±0.0026,0.6582±0.0039,0.5502±0.0057,0.4029±0.007,0.8184±0.0017,0.5994±0.0043,0.7124±0.0026,0.6568±0.0048,0.5496±0.0057,0.4019±0.0067,0.8188±0.0027,0.5984±0.005
PLS,0.6894±0.0026,0.6442±0.0065,0.4745±0.0049,0.325±0.0077,0.7804±0.0028,0.5465±0.0051,0.6903±0.0029,0.6463±0.0094,0.4761±0.0051,0.3276±0.0083,0.7809±0.0037,0.5483±0.0064
