 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6995±0.0074,0.6558±0.05,0.4854±0.0135,0.4767±0.0137,0.8312±0.0052,0.5575±0.0264,0.7053±0.0042,0.6861±0.042,0.4935±0.0125,0.487±0.0083,0.8367±0.0073,0.5734±0.0137
SVMLN,0.6474±0.005,0.4876±0.0062,0.411±0.0038,0.3739±0.0093,0.7679±0.0061,0.446±0.004,0.6479±0.0034,0.4894±0.005,0.4079±0.0025,0.3729±0.0063,0.7687±0.0069,0.4449±0.0025
RF,0.6559±0.0049,0.5133±0.0109,0.3943±0.0042,0.3827±0.0104,0.7907±0.0061,0.4459±0.0047,0.6589±0.0049,0.5201±0.0055,0.3979±0.0042,0.3889±0.0104,0.7954±0.0086,0.4509±0.0038
ET,0.6552±0.0045,0.5204±0.0089,0.3934±0.0039,0.3814±0.0095,0.7932±0.0084,0.448±0.0037,0.6565±0.0039,0.5207±0.0081,0.3953±0.0031,0.384±0.0083,0.7974±0.0086,0.4494±0.004
XGB,0.6813±0.0057,0.6205±0.0349,0.4568±0.0025,0.4405±0.0104,0.8292±0.0064,0.5259±0.0138,0.6872±0.0044,0.6082±0.0286,0.4642±0.0058,0.4517±0.0085,0.8353±0.0055,0.5263±0.0131
LGBM,0.6817±0.0063,0.6086±0.0259,0.46±0.0041,0.4413±0.0115,0.8282±0.0053,0.5238±0.0115,0.6862±0.0064,0.6012±0.0341,0.4668±0.0076,0.4504±0.0118,0.8349±0.0047,0.5253±0.017
MLP,0.6495±0.0059,0.5418±0.0088,0.5125±0.0107,0.4134±0.0086,0.8092±0.0034,0.5267±0.0084,0.6484±0.0054,0.5398±0.0172,0.5128±0.0128,0.411±0.006,0.8105±0.0053,0.5258±0.0103
NB,0.4747±0.0077,0.4164±0.0095,0.5007±0.0165,0.2702±0.012,0.7472±0.0055,0.4547±0.0122,0.4764±0.0089,0.4208±0.0095,0.5096±0.0177,0.274±0.0125,0.7479±0.0077,0.4609±0.0123
1NN,0.5828±0.0085,0.459±0.0169,0.4487±0.0093,0.327±0.0122,0.6325±0.0062,0.4538±0.0127,0.5917±0.005,0.475±0.0108,0.4619±0.0083,0.3401±0.0089,0.6413±0.0056,0.4684±0.0091
DT,0.5101±0.0072,0.3636±0.0044,0.3676±0.0055,0.2015±0.0091,0.5791±0.0038,0.3656±0.0049,0.5116±0.007,0.3616±0.0097,0.3642±0.0098,0.2018±0.0102,0.577±0.0064,0.3629±0.0097
LR,0.6419±0.0058,0.534±0.0174,0.441±0.012,0.371±0.0109,0.8155±0.0064,0.483±0.0117,0.6445±0.0073,0.5384±0.0195,0.44±0.0134,0.3734±0.0137,0.8186±0.0046,0.4842±0.0155
PLS,0.6115±0.0062,0.4445±0.0103,0.3626±0.0055,0.2906±0.013,0.791±0.005,0.3993±0.0068,0.6096±0.0047,0.4444±0.007,0.3596±0.0028,0.2852±0.0097,0.7915±0.0046,0.3975±0.004
