 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.5099±0.0108,0.4959±0.0539,0.3905±0.0174,0.1541±0.0276,0.6139±0.0118,0.4354±0.0233,0.5041±0.0127,0.4743±0.0418,0.3972±0.0172,0.1482±0.0304,0.6195±0.0234,0.4314±0.0191
SVMLN,0.5003±0.0137,0.4789±0.0663,0.3845±0.0186,0.1316±0.0346,0.6105±0.0219,0.4247±0.0312,0.4975±0.0229,0.4533±0.0314,0.4077±0.0184,0.1462±0.0397,0.6052±0.0194,0.4292±0.0237
RF,0.5099±0.0074,0.5988±0.1009,0.3784±0.0134,0.1577±0.0207,0.6119±0.0224,0.4607±0.0332,0.4506±0.0324,0.4035±0.0411,0.3952±0.0363,0.0994±0.0568,0.589±0.0309,0.3993±0.0386
ET,0.5127±0.013,0.5104±0.0197,0.3938±0.0156,0.1577±0.033,0.6122±0.0211,0.4445±0.0169,0.4321±0.026,0.3908±0.0325,0.3879±0.0296,0.0852±0.0444,0.5802±0.026,0.3893±0.031
XGB,0.5074±0.0091,0.5402±0.111,0.3766±0.0151,0.1462±0.0257,0.6129±0.0164,0.4398±0.0453,0.4929±0.0114,0.4419±0.0258,0.4042±0.015,0.1371±0.0238,0.6138±0.0217,0.4221±0.0195
LGBM,0.5109±0.0102,0.5851±0.1073,0.3856±0.0156,0.1584±0.0276,0.6124±0.0151,0.4604±0.0336,0.4743±0.0199,0.4332±0.0291,0.4223±0.0261,0.1422±0.0362,0.6037±0.0274,0.4277±0.0274
MLP,0.4931±0.0127,0.4752±0.0368,0.4099±0.0216,0.1387±0.0336,0.6044±0.009,0.4395±0.0218,0.4481±0.0184,0.4083±0.0189,0.4049±0.018,0.1122±0.0287,0.5701±0.0168,0.4066±0.0184
NB,0.4911±0.0173,0.4658±0.071,0.3754±0.0146,0.1058±0.0421,0.6134±0.02,0.4141±0.0335,0.4919±0.0114,0.4344±0.0403,0.3703±0.0103,0.1033±0.0282,0.5989±0.0169,0.3993±0.0219
1NN,0.4644±0.0184,0.3799±0.0314,0.3529±0.0134,0.0487±0.0368,0.5147±0.0101,0.3657±0.0214,0.4234±0.0287,0.3797±0.0239,0.3769±0.0225,0.0736±0.0367,0.5327±0.0169,0.3783±0.0232
DT,0.4733±0.0275,0.4057±0.0526,0.3774±0.0212,0.094±0.0411,0.533±0.0159,0.3902±0.0349,0.4112±0.031,0.3854±0.0274,0.3844±0.0257,0.0802±0.0397,0.5348±0.0186,0.3849±0.0265
LR,0.5031±0.0124,0.4918±0.1581,0.3728±0.0194,0.1314±0.053,0.6173±0.0166,0.4136±0.0764,0.5046±0.0201,0.4605±0.1197,0.3939±0.0312,0.1379±0.0615,0.6251±0.0197,0.4183±0.0759
PLS,0.5074±0.0132,0.5095±0.0601,0.3892±0.0141,0.1454±0.0347,0.6289±0.0192,0.4401±0.0282,0.5056±0.015,0.4742±0.0375,0.4027±0.0144,0.1494±0.0304,0.6337±0.0172,0.4353±0.0235
