 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.5313±0.0159,0.5127±0.0286,0.4283±0.0244,0.2054±0.0339,0.6407±0.018,0.4664±0.0226,0.5084±0.024,0.4665±0.0255,0.4374±0.0263,0.1876±0.0334,0.6501±0.0245,0.4512±0.0231
SVMLN,0.5219±0.019,0.501±0.0374,0.4117±0.0209,0.1833±0.0425,0.6289±0.0325,0.4515±0.0228,0.5224±0.0278,0.4807±0.0345,0.4552±0.024,0.2122±0.0444,0.6457±0.022,0.4675±0.0288
RF,0.528±0.0137,0.5495±0.0418,0.4111±0.0227,0.1978±0.0349,0.6482±0.0248,0.4694±0.0214,0.5232±0.0234,0.4773±0.0308,0.4447±0.0221,0.205±0.04,0.6508±0.0185,0.4603±0.0256
ET,0.5336±0.0249,0.5064±0.0423,0.4367±0.0301,0.2108±0.0554,0.6495±0.0241,0.4688±0.0336,0.5102±0.0339,0.4605±0.0447,0.4415±0.0319,0.1913±0.0551,0.6423±0.0239,0.4507±0.0379
XGB,0.5333±0.0219,0.53±0.0564,0.4235±0.0328,0.2087±0.0497,0.6419±0.0297,0.4698±0.036,0.5196±0.0302,0.4749±0.0433,0.4528±0.0306,0.2083±0.0508,0.6522±0.0231,0.4635±0.0363
LGBM,0.5318±0.0126,0.5717±0.0514,0.4126±0.016,0.207±0.0302,0.6573±0.0247,0.4786±0.0255,0.5117±0.029,0.4735±0.0385,0.4609±0.0319,0.2068±0.0477,0.6494±0.0259,0.4671±0.0349
MLP,0.5328±0.0138,0.5236±0.0219,0.4325±0.0151,0.2101±0.0287,0.6187±0.0224,0.4735±0.0148,0.4969±0.0222,0.4587±0.025,0.4471±0.0207,0.1845±0.0343,0.6237±0.0216,0.4528±0.0224
NB,0.5298±0.028,0.4992±0.0553,0.4335±0.0274,0.2053±0.054,0.6481±0.0219,0.4637±0.0393,0.5272±0.0126,0.4905±0.019,0.4294±0.0115,0.199±0.0251,0.6371±0.018,0.4579±0.0146
1NN,0.4438±0.0197,0.3845±0.0271,0.3824±0.0246,0.0871±0.0393,0.5368±0.0185,0.3834±0.0257,0.4313±0.0351,0.3769±0.0394,0.3739±0.0328,0.0731±0.0529,0.5305±0.0246,0.3754±0.036
DT,0.4099±0.0645,0.3837±0.0337,0.3876±0.0348,0.0905±0.0527,0.5407±0.0261,0.3856±0.0338,0.4425±0.0249,0.4057±0.0234,0.4047±0.0224,0.1198±0.0339,0.5526±0.016,0.4052±0.0229
LR,0.5239±0.0221,0.5452±0.0627,0.4021±0.0305,0.186±0.0513,0.6428±0.0192,0.4618±0.0382,0.527±0.0304,0.4888±0.0421,0.4416±0.0355,0.2088±0.0537,0.6628±0.0218,0.4635±0.0355
PLS,0.5336±0.0196,0.5331±0.0454,0.4246±0.0196,0.2091±0.0429,0.6704±0.0214,0.4723±0.0283,0.542±0.0211,0.5121±0.0338,0.4568±0.0213,0.2332±0.0393,0.669±0.0193,0.4828±0.0267
