 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
SVMLN,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
RF,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
ET,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
XGB,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
LGBM,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
MLP,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
NB,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
1NN,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.329±0.1062,0.1097±0.0354,0.3333±0.0,0.0±0.0,0.5±0.0,0.1623±0.0384
DT,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
LR,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
PLS,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0,0.4784±0.0,0.1595±0.0,0.3333±0.0,0.0±0.0,0.5±0.0,0.2157±0.0
