 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.5112±0.0108,0.4654±0.0568,0.3957±0.0107,0.1576±0.0219,0.5943±0.0125,0.4264±0.0251,0.4964±0.0204,0.4207±0.0544,0.3834±0.0107,0.1286±0.0387,0.5917±0.0194,0.4±0.0286
SVMLN,0.4997±0.0088,0.4533±0.1051,0.3773±0.0132,0.1225±0.0258,0.591±0.0181,0.4074±0.0454,0.4863±0.0144,0.3916±0.0787,0.3662±0.0126,0.0907±0.0347,0.5881±0.0192,0.3756±0.0417
RF,0.4809±0.0236,0.4141±0.0357,0.4001±0.0219,0.1282±0.0392,0.5832±0.0143,0.4068±0.0281,0.4667±0.0255,0.3877±0.0332,0.3827±0.0223,0.1018±0.0399,0.5763±0.0205,0.3851±0.0275
ET,0.474±0.0206,0.4051±0.0278,0.3949±0.0166,0.1181±0.0318,0.5808±0.0148,0.3998±0.0218,0.4697±0.0145,0.4003±0.021,0.3915±0.0159,0.112±0.0248,0.5766±0.0172,0.3959±0.0183
XGB,0.4969±0.0195,0.4319±0.0175,0.4151±0.014,0.158±0.0318,0.5892±0.0146,0.4233±0.0153,0.4504±0.0252,0.3823±0.027,0.3817±0.024,0.0928±0.0419,0.5623±0.0184,0.3819±0.0254
LGBM,0.4896±0.027,0.4291±0.0364,0.4085±0.0231,0.1434±0.0448,0.5861±0.0195,0.4184±0.0294,0.4369±0.0143,0.3695±0.0239,0.372±0.0177,0.0772±0.0255,0.5582±0.0165,0.3707±0.0207
MLP,0.486±0.0194,0.423±0.0273,0.4107±0.0213,0.144±0.0345,0.5943±0.008,0.4167±0.024,0.4791±0.02,0.4126±0.0317,0.3976±0.0166,0.1248±0.0317,0.597±0.0153,0.4048±0.0233
NB,0.4804±0.0052,0.265±0.085,0.3368±0.0062,0.0262±0.0377,0.59±0.014,0.2902±0.0576,0.4802±0.0036,0.3655±0.144,0.3363±0.0037,0.0326±0.0378,0.5901±0.0208,0.3393±0.0661
1NN,0.3812±0.0238,0.3463±0.0242,0.346±0.0246,0.0239±0.0371,0.5095±0.0185,0.3461±0.0244,0.3916±0.0185,0.3584±0.0219,0.3586±0.0215,0.0395±0.0328,0.519±0.0161,0.3585±0.0217
DT,0.4084±0.0258,0.3718±0.0198,0.3714±0.0192,0.0671±0.0323,0.5253±0.0153,0.3716±0.0195,0.415±0.0215,0.3792±0.0226,0.3789±0.0216,0.0748±0.0332,0.5302±0.0152,0.3791±0.0221
LR,0.5±0.0061,0.4599±0.1132,0.3782±0.0128,0.1282±0.0173,0.5931±0.0168,0.4098±0.0429,0.4906±0.0092,0.4085±0.069,0.3694±0.0163,0.0987±0.0327,0.5905±0.0216,0.3855±0.036
PLS,0.4936±0.0135,0.4262±0.0511,0.379±0.0115,0.1159±0.0292,0.5911±0.0143,0.4003±0.0278,0.4908±0.0128,0.4285±0.0351,0.3767±0.011,0.109±0.0284,0.5926±0.0208,0.4005±0.0192
