 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.5981±0.0038,0.4564±0.0384,0.3269±0.0069,0.2495±0.0094,0.6665±0.0092,0.3804±0.0136,0.6213±0.0025,0.4707±0.0306,0.3648±0.0045,0.3083±0.0052,0.7088±0.008,0.4107±0.0124
SVMLN,0.5881±0.0033,0.4234±0.0112,0.3198±0.0092,0.224±0.0109,0.6891±0.0107,0.3642±0.0063,0.616±0.0049,0.4532±0.0164,0.3658±0.0053,0.2999±0.0107,0.725±0.0084,0.4048±0.0091
RF,0.5779±0.0052,0.4592±0.0821,0.3202±0.0084,0.2023±0.0131,0.6543±0.0064,0.375±0.0257,0.5984±0.0083,0.4518±0.0233,0.3878±0.009,0.2874±0.0149,0.6993±0.0109,0.4173±0.0147
ET,0.5874±0.0069,0.4859±0.0676,0.3413±0.0092,0.2317±0.0133,0.6588±0.0057,0.3997±0.0259,0.5949±0.0072,0.4433±0.0151,0.388±0.0063,0.2849±0.0123,0.6853±0.0103,0.4137±0.0095
XGB,0.5961±0.0046,0.4303±0.0081,0.3279±0.0063,0.2438±0.0118,0.6886±0.0134,0.3721±0.0052,0.6243±0.0043,0.5047±0.0494,0.3649±0.0062,0.3142±0.0099,0.7445±0.0082,0.4227±0.0168
LGBM,0.6036±0.0042,0.5066±0.1052,0.3378±0.0046,0.2635±0.0104,0.701±0.01,0.4019±0.0311,0.6341±0.0033,0.5398±0.0334,0.3868±0.0038,0.339±0.0073,0.7556±0.0072,0.4502±0.0109
MLP,0.5458±0.012,0.4007±0.0434,0.3396±0.0097,0.1883±0.0122,0.6424±0.0115,0.3669±0.0211,0.57±0.0085,0.4127±0.0077,0.3828±0.0083,0.2521±0.0149,0.6839±0.0119,0.3972±0.0077
NB,0.5667±0.0038,0.4234±0.0464,0.2855±0.0044,0.1542±0.0135,0.6689±0.0119,0.3403±0.0149,0.5742±0.0038,0.4145±0.0143,0.2946±0.0041,0.1793±0.0116,0.7012±0.0085,0.3444±0.0065
1NN,0.4731±0.0406,0.3139±0.0324,0.2889±0.0195,0.065±0.0377,0.5259±0.013,0.3008±0.0252,0.4807±0.0226,0.3364±0.0193,0.3271±0.0147,0.1264±0.0233,0.5514±0.0098,0.3316±0.0169
DT,0.5155±0.0149,0.3465±0.0208,0.3306±0.0126,0.1607±0.017,0.5562±0.0106,0.3382±0.0155,0.5334±0.0076,0.3773±0.0111,0.3606±0.0079,0.2002±0.0114,0.606±0.0089,0.3687±0.0091
LR,0.5843±0.0039,0.4313±0.0417,0.3125±0.0099,0.2145±0.0122,0.6936±0.0123,0.3616±0.0143,0.6162±0.0051,0.4958±0.0538,0.3506±0.0101,0.294±0.0131,0.732±0.0073,0.4094±0.0145
PLS,0.5529±0.0018,0.4881±0.0508,0.2602±0.002,0.0945±0.0112,0.7167±0.0069,0.3388±0.013,0.559±0.0042,0.5078±0.0341,0.2672±0.0045,0.1236±0.0198,0.7352±0.0098,0.3499±0.0102
