 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.6545±0.0033,0.5955±0.0606,0.4088±0.005,0.3814±0.0066,0.7873±0.006,0.4839±0.0234,0.663±0.0037,0.5583±0.0501,0.419±0.004,0.399±0.0073,0.7957±0.0058,0.478±0.0203
SVMLN,0.6567±0.0045,0.6005±0.0595,0.4144±0.0151,0.3869±0.0095,0.8044±0.0049,0.489±0.0175,0.66±0.0046,0.5355±0.0139,0.4509±0.0083,0.4018±0.0088,0.8012±0.0085,0.4896±0.0101
RF,0.6152±0.0111,0.5382±0.069,0.3935±0.0092,0.3126±0.0165,0.733±0.0106,0.4532±0.0281,0.6493±0.0057,0.5425±0.0259,0.443±0.0058,0.3863±0.0102,0.7815±0.0076,0.4875±0.0124
ET,0.6481±0.0082,0.5608±0.045,0.4373±0.0104,0.3807±0.0141,0.7608±0.0116,0.4909±0.0223,0.657±0.005,0.5402±0.0258,0.4573±0.0056,0.4037±0.0084,0.7763±0.009,0.4951±0.0135
XGB,0.6327±0.006,0.4789±0.0445,0.3908±0.0075,0.3416±0.0107,0.7793±0.0066,0.4297±0.0187,0.6751±0.0044,0.6274±0.0357,0.4369±0.0051,0.4236±0.0087,0.8268±0.0056,0.5148±0.0143
LGBM,0.6406±0.0055,0.5204±0.041,0.4225±0.0077,0.3681±0.0097,0.7874±0.0085,0.4656±0.0146,0.6857±0.0054,0.5978±0.0229,0.4668±0.0079,0.448±0.0104,0.8332±0.0063,0.5241±0.0131
MLP,0.6153±0.007,0.5121±0.0223,0.427±0.0052,0.3329±0.0106,0.7433±0.0087,0.4655±0.0107,0.6226±0.0094,0.4963±0.0174,0.4563±0.0178,0.3564±0.017,0.7601±0.0116,0.4754±0.0167
NB,0.6278±0.0054,0.568±0.1021,0.3774±0.0047,0.325±0.0114,0.7697±0.0056,0.4503±0.0343,0.6269±0.0061,0.5141±0.0923,0.3765±0.0067,0.3228±0.013,0.7747±0.0074,0.4321±0.0343
1NN,0.5203±0.0079,0.3909±0.0094,0.3681±0.0087,0.1831±0.0091,0.5787±0.0058,0.3791±0.0087,0.5184±0.0073,0.3899±0.0081,0.3706±0.0061,0.1849±0.01,0.5804±0.0041,0.38±0.0066
DT,0.4747±0.0367,0.3653±0.0309,0.3549±0.022,0.1723±0.0393,0.571±0.0146,0.3599±0.0254,0.5525±0.0102,0.4245±0.0166,0.4172±0.0138,0.2633±0.0163,0.6223±0.0114,0.4208±0.0149
LR,0.6561±0.0047,0.5958±0.0269,0.4232±0.0048,0.3859±0.0095,0.8125±0.005,0.4947±0.0117,0.6621±0.0049,0.6039±0.0223,0.4216±0.0055,0.3969±0.01,0.8168±0.0059,0.4964±0.0087
PLS,0.6078±0.0072,0.5376±0.0928,0.3272±0.0067,0.2759±0.0187,0.8094±0.0037,0.4047±0.0258,0.6099±0.0071,0.5442±0.1174,0.3302±0.0078,0.2802±0.0183,0.8113±0.0049,0.4079±0.0329
