 ,ACC,PRE,REC,MCC,AUC,F1,ACC,PRE,REC,MCC,ACC,F1
SVMRBF,0.5826±0.0061,0.4033±0.0156,0.3265±0.0053,0.2177±0.0139,0.6412±0.0087,0.3608±0.0091,0.5839±0.0045,0.4052±0.0116,0.328±0.006,0.2212±0.012,0.6433±0.0095,0.3625±0.0082
SVMLN,0.5596±0.0027,0.2744±0.005,0.281±0.0023,0.1295±0.0089,0.5942±0.018,0.2777±0.0034,0.5608±0.0034,0.2754±0.0049,0.2819±0.0028,0.133±0.0112,0.5949±0.0117,0.2786±0.0038
RF,0.5631±0.0052,0.3807±0.0164,0.3426±0.0044,0.2125±0.0086,0.6476±0.0056,0.3605±0.0093,0.5679±0.0033,0.3883±0.018,0.3447±0.0038,0.2193±0.0071,0.6543±0.0095,0.3651±0.0093
ET,0.5579±0.005,0.3657±0.0099,0.3374±0.005,0.2038±0.0099,0.6331±0.0067,0.351±0.0072,0.5624±0.0076,0.3751±0.0135,0.3391±0.0053,0.2091±0.0137,0.6434±0.0093,0.3561±0.0081
XGB,0.5873±0.0058,0.4087±0.0216,0.3369±0.0066,0.2355±0.0132,0.6957±0.008,0.3691±0.0101,0.5818±0.0038,0.4218±0.0441,0.3406±0.0039,0.2304±0.0084,0.7035±0.0044,0.3761±0.0178
LGBM,0.5869±0.006,0.4137±0.0253,0.3363±0.0068,0.2348±0.0147,0.6974±0.0066,0.3707±0.0115,0.5781±0.0035,0.4072±0.0277,0.3421±0.0043,0.2279±0.0076,0.695±0.0061,0.3715±0.0127
MLP,0.5846±0.0063,0.404±0.0095,0.3346±0.008,0.229±0.0162,0.6822±0.0114,0.366±0.007,0.5845±0.0053,0.4033±0.0082,0.3362±0.0054,0.2302±0.0116,0.6891±0.0077,0.3667±0.0047
NB,0.5446±0.0001,0.217±0.1012,0.2501±0.0001,0.0064±0.0067,0.6468±0.0079,0.2221±0.0532,0.5448±0.0002,0.2168±0.109,0.2502±0.0003,0.0077±0.0099,0.6525±0.0111,0.2202±0.0579
1NN,0.4624±0.0196,0.316±0.0145,0.3147±0.0133,0.1143±0.0193,0.5431±0.0088,0.3153±0.0138,0.4633±0.0213,0.3189±0.0124,0.3183±0.0123,0.116±0.0195,0.5455±0.0082,0.3186±0.0122
DT,0.5006±0.0063,0.3232±0.0068,0.3166±0.0048,0.1394±0.0083,0.5624±0.0046,0.3199±0.0058,0.5071±0.007,0.3285±0.009,0.3199±0.0068,0.1453±0.0131,0.5711±0.0067,0.3241±0.0078
LR,0.5552±0.0043,0.3828±0.0125,0.2866±0.0037,0.1258±0.0127,0.6587±0.0085,0.3278±0.0061,0.5558±0.0034,0.3852±0.0105,0.2864±0.0024,0.1265±0.0094,0.664±0.008,0.3285±0.0051
PLS,0.5544±0.0039,0.3815±0.0174,0.2812±0.003,0.1174±0.012,0.656±0.009,0.3237±0.0078,0.555±0.0034,0.3798±0.0175,0.2812±0.003,0.1186±0.0105,0.6593±0.0087,0.3231±0.008
